title,rating,mpaa
Drive-Angry,5.5,"Rated R for strong brutal violence throughout, grisly images, some graphic sexual content, nudity and pervasive language"
Drive,7.8,"Rated R for strong brutal bloody violence, language and some nudity."
Drop-Dead-Gorgeous,6.5,"Rated PG-13 for irreverent and crude humor, sex-related material and language"
"Dry-White-Season,-A",7.0,
Duck-Soup,8.0,
Dumb-and-Dumber,5.7,"Rated PG-13 for crude and sexual humor, partial nudity, language and some drug references"
Dune,6.6,
E.T,7.9,Rated PG for language and mild thematic elements (20th anniversary edition)
Eagle-Eye,6.6,"Rated PG-13 for intense sequences of action and violence, and for language"
Eastern-Promises,7.7,"Rated R for strong brutal and bloody violence, some graphic sexuality, language and nudity"
Easy-A,7.1,"Rated PG-13 for mature thematic elements involving teen sexuality, language and some drug material"
Ed-TV,6.1,"Rated PG-13 for sex-related situations, partial nudity and crude language"
Ed-Wood,7.9,Rated R for some strong language
Edward-Scissorhands,7.9,
Eight-Legged-Freaks,5.4,"Rated PG-13 for sci-fi violence, brief sexuality and language"
El-Mariachi,6.9,Rated R for strong violence (Approval No. 31967)
Election,7.3,"Rated R for strong sexuality, sex-related dialogue and language, and a scene of drug use"
"Elephant-Man,-The",8.2,
Elizabeth-The-Golden-Age,6.9,"Rated PG-13 for violence, some sexuality and nudity"
Enoug,7.1,"Rated PG-13 for crude and sexual content, comic violence, language and partial nudity"
Entrapmen,6.2,"Rated PG-13 for some language, sensuality, violence and drug content"
Erik-the-Viking,6.2,
Erin-Brockovic,7.3,Rated R for language
Escape-From-L.A,5.7,Rated R for violence and some language
Escape-From-New-York,7.2,
Eternal-Sunshine-of-the-Spotless-Mind,8.3,"Rated R for language, some drug and sexual content"
Even-Cowgirls-Get-the-Blues,4.3,Rated R for sexuality and some language
Event-Horizon,6.7,"Rated R for strong violence and gore, language and some nudity"
Evil-Dead-II-Dead-by-Dawn,,
Evil-Dead,6.5,"Rated R for strong bloody violence and gore, some sexual content and language"
Excalibur,7.4,
eXistenZ,6.8,"Rated R for strong sci-fi violence and gore, and for language"
Extrac,3.9,"Rated R for violence, language throughout and brief sexual content/nudity"
"Fabulous-Baker-Boys,-The",6.8,
Face-Off,5.7,
Fair-Game,6.8,Rated PG-13 for some language
"Family-Man,-The",6.7,Rated PG-13 for sensuality and some language
Fantastic-Four,4.3,"Rated PG-13 for sci-fi action violence, and language"
Fantastic-Mr-Fox,7.8,"Rated PG for action, smoking and slang humor"
Fargo,9.0,
Fast-Times-at-Ridgemont-Hig,7.2,
Fatal-Instinc,5.7,Rated PG-13 for off-color humor
"Fault-in-Our-Stars,-The",7.8,"Rated PG-13 for thematic elements, some sexuality and brief strong language"
Fear-and-Loathing-in-Las-Vegas,7.7,"Rated R for pervasive extreme drug use and related bizarre behavior, strong language, and brief nudity (certificate no. 35894)"
Feas,6.4,"Rated R for pervasive strong creature violence and gore, language, some sexuality and drug content"
Ferris-Bueller's-Day-Off,7.8,
Field-of-Dreams,7.5,
"Fifth-Element,-The",7.7,"Rated PG-13 for intense sci-fi violence, some sexuality and brief nudity"
Fight-Club,8.8,"Rated R for disturbing and graphic depiction of violent anti-social behavior, sexuality and language"
"Fighter,-The",7.9,"Rated R for language throughout, drug content, some violence and sexuality"
Final-Destination-2,6.2,"Rated R for strong violent/gruesome accidents, language, drug content and some nudity"
Final-Destination,6.7,"Rated R for violence and terror, and for language"
Finding-Nemo,8.1,
Five-Easy-Pieces,7.5,
Flash-Gordon,6.5,
Fletc,6.9,
Flig,7.3,"Rated R for drug and alcohol abuse, language, sexuality/nudity and an intense action sequence"
"Flintstones,-The",4.8,Rated PG for some mild innuendos
Forrest-Gump,8.8,"Rated PG-13 for drug content, some sensuality and war violence"
Four-Feathers,6.5,"Rated PG-13 for intense battle sequences, disturbing images, violence and some sensuality (edited for re-rating)"
Four-Rooms,6.7,"Rated R for pervasive strong language, sexuality and some drug use"
Foxcatcher,7.0,Rated R for some drug use and a scene of violence
Fracture,7.2,Rated R for language and some violent content
Frances,7.4,
Frankenstein,6.0,"Rated PG-13 for macabre images, violence and a sequence of destruction"
Freaked,6.2,"Rated PG-13 for language, some sexual situations and bizarre humor"
Freddy-vs.-Jason,5.8,"Rated R for pervasive strong horror violence/gore, gruesome images, sexuality, drug use and language"
"French-Connection,-The",7.8,
Friday-the-13,,
Friday-the-13th-Part-VIII-Jason-Takes-Manhattan,4.6,
Fright-Nig,6.4,"Rated R for bloody horror violence, and language including some sexual references"
Fright-Night-(1985),,
From-Dusk-Till-Dawn,7.3,"Rated R for strong violence and gore, language and nudity"
From-Here-to-Eternity,7.8,
Frozen-(Disney),5.3,
Frozen-River,7.2,Rated R for some language
Frozen,7.5,Rated PG for some action and mild rude humor
Fruitvale-Station,7.5,"Rated R for some violence, language throughout and some drug use"
"Fugitive,-The",7.8,Rated PG-13 for a murder and other action sequences in an adventure setting
Funny-People,6.4,"Rated R for language and crude sexual humor throughout, and some sexuality"
G.I.-Jane,5.9,Rated R for language and combat violence
G.I.-Joe-The-Rise-of-Cobra,5.8,Rated PG-13 for strong sequences of action violence and mayhem throughout
"Game,-The",9.5,
Game-6,9.5,
Gamer,5.8,"Rated R for frenetic sequences of strong brutal violence throughout, sexual content, nudity and language"
Gandhi,8.1,
Gang-Related,7.6,
Gangs-of-New-York,7.5,"Rated R for intense strong violence, sexuality/nudity and language"
Garden-State,7.6,"Rated R for language, drug use and a scene of sexuality"
Gattaca,7.8,"Rated PG-13 for brief violent images, language, and some sexuality"
Get-Carter,5.1,"Rated R for violence, language, some sexuality and drug content"
Get-Low,7.1,Rated PG-13 for some thematic material and brief violent content
Get-Shorty,6.9,Rated R for language and some violence
"Getaway,-The",7.5,
Ghos,,
"Ghost-and-the-Darkness,-The",6.8,Rated R for some violence and gore involving animal attacks
Ghost-Rider,5.2,Rated PG-13 for horror violence and disturbing images
Ghost-Ship,5.5,"Rated R for strong violence/gore, language and sexuality"
Ghost-World,7.4,Rated R for strong language and some sexual content
Ghostbusters-2,5.4,Rated PG-13 for supernatural action and some crude humor
Ghostbusters,5.4,Rated PG-13 for supernatural action and some crude humor
Ginger-Snaps,6.8,
"Girl-with-the-Dragon-Tattoo,-The",7.8,"Rated R for brutal violent content including rape and torture, strong sexuality, graphic nudity, and language"
Gladiator,8.5,"Rated R for intense, graphic combat"
Glengarry-Glen-Gross,7.8,Rated R for language
Go,7.3,"Rated R for strong drug content, sexuality, language and some violence"
Godfather-Part-II,9.0,
"Godfather-Part-III,-The",7.6,Rated R for violence and language
Godfather,9.2,
Gods-and-Monsters,7.5,Rated R for sexual material and language
