title,genre
Grosse-Point-Blank,"[u'Action', u'Comedy', u'Crime', u'Romance', u'Thriller']"
Groundhog-Day,"[u'Comedy', u'Fantasy', u'Romance']"
"Grudge,-The","[u'Horror', u'Mystery', u'Thriller']"
Hackers,"[u'Comedy', u'Crime', u'Drama', u'Thriller']"
Hall-Pass,"[u'Comedy', u'Romance']"
Halloween-The-Curse-of-Michael-Myers,"[u'Horror', u'Thriller']"
Hancock,"[u'Action', u'Crime', u'Drama', u'Fantasy']"
"Hangover,-The",[u'Comedy']
Hanna,"[u'Action', u'Drama', u'Thriller']"
Hannah-and-Her-Sisters,"[u'Comedy', u'Drama']"
Hanniba,"[u'Crime', u'Drama', u'Horror', u'Mystery', u'Thriller']"
