title,gross
Man-Trouble,"$4,096,030"
"Man-Who-Knew-Too-Much,-The",
"Man-Who-Wasn't-There,-The","$7,494,849"
"Manchurian-Candidate,-The","$65,948,711"
Manhattan-Murder-Mystery,"$11,285,588"
Manhunter,"$8,620,929"
Margare,"$46,495"
Margin-Ca,"$5,354,039"
Margot-at-the-Wedding,"$1,956,291"
"Mariachi,-E","$2,040,920"
Marley-&-Me,"$143,151,473"
Martha-Marcy-May-Marlene,"$2,981,638"
Marty,
"Mask,-The","$119,938,730"
"Master,-The","$17,356,894"
Master-and-Commander,
"Matrix,-The","$171,383,253"
"Matrix-Reloaded,-The","$281,492,479"
Max-Payne,"$40,687,294"
Mean-Streets,"$32,645"
"Mechanic,-The","$29,113,588"
Meet-Joe-Black,"$44,606,335"
Meet-John-Doe,
Megamind,"$148,337,537"
Memento,"$25,530,884"
Men-in-Black-3,"$179,020,854"
Men-in-Black,"$250,147,615"
"Men-Who-Stare-at-Goats,-The","$32,416,109"
Metro,"$31,987,563"
Miami-Vice,
Midnight-Cowboy,
Midnight-Express,"$35,000,000"
Midnight-in-Paris,"$56,816,662"
Mighty-Morphin-Power-Rangers-The-Movie,
Milk,"$31,838,002"
Miller's-Crossing,"$5,080,409"
Mimic,"$25,454,187"
Mini's-First-Time,"$48,913"
"Miracle-Worker,-The",
Mirrors,"$30,691,439"
Misery,"$61,276,872"
Mission-Impossible-II,"$215,397,307"
Mission-Impossible,
Mission-to-Mars,"$60,874,615"
Moneyba,"$75,605,492"
Monkeybone,"$5,409,517"
Monte-Carlo,
Moon,"$5,009,677"
Moonrise-Kingdo,"$45,507,053"
Moonstruck,"$80,640,528"
Mr-Blandings-Builds-His-Dream-House,
Mr-Brooks,"$28,476,219"
Mr-Deeds-Goes-to-Town,
Mrs.-Brown,"$9,217,930"
Mud,"$21,589,307"
Mulan,"$120,618,403"
Mulholland-Drive,"$7,219,578"
Mumford,"$4,554,569"
"Mummy,-The",
Music-of-the-Hear,"$14,849,583"
Mute-Witness,"$1,204,430"
My-Best-Friend's-Wedding,"$126,805,112"
My-Gir,"$59,847,242"
